Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
25,2016,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT ABS,Celerio,445000,39500,Petrol,Mumbai,32,5
26,2012,BMW,BMW 3 Series 320d Prestige,3,925000,74460,Diesel,Mumbai,4,9
27,2017,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,4550000,42442,Diesel,Mumbai,2,4
28,2014,Volkswagen,Volkswagen Vento TSI,Vento,485000,65327,Petrol,Mumbai,3,7
29,2016,Honda,Honda Jazz V AT Petrol,Jazz,635000,19768,Petrol,Mumbai,7,5
30,2016,Tata,Tata Nano Twist XT,Nano,215000,2814,Petrol,Mumbai,40,5
31,2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000,20100,Petrol,Mumbai,14,6
32,2015,Mercedes-Benz,Mercedes-Benz GLA 200 CDI Sport,GLA,1950000,52717,Diesel,Mumbai,2,6
33,2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000,20100,Petrol,Mumbai,14,6
34,2012,Maruti Suzuki,Maruti Suzuki A-Star Vxi,A-Star,275000,46646,Petrol,Mumbai,32,9
35,2014,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1875000,49000,Diesel,Mumbai,10,7
36,2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000,32000,Diesel,Mumbai,2,3
37,2020,BMW,BMW X1 sDrive20i SportX,X1,3500000,5550,Petrol,Mumbai,4,1
38,2010,BMW,BMW Z4 Roadster sDrive35i,Z4,2900000,48000,Petrol,Mumbai,4,11
39,2016,Audi,Audi A3 35 TDI Premium,A3,1525000,31000,Diesel,Mumbai,10,5
40,2012,Audi,Audi A4 1.8 TFSI Multitronic Premium Plus,A4,975000,61000,Petrol,Mumbai,10,9
41,2014,BMW,BMW X3 xDrive-20d xLine,X3,2350000,65000,Diesel,Mumbai,4,7
42,2010,Bentley,Bentley Continental Flying Spur W12,Continental,7600000,49000,Petrol,Mumbai,44,11
43,2014,Audi,Audi Q3 2.0 TDI quattro Premium Plus,Q3,1470000,78000,Diesel,Mumbai,10,7
44,2010,Audi,Audi Q7 3.0 TDI quattro Premium,Q7,1550000,82000,Diesel,Mumbai,10,11
45,2017,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2350000,24000,Petrol,Mumbai,2,4
46,2013,Mercedes-Benz,Mercedes-Benz E-Class E350 Cabriolet,E-Class,3850000,6000,Petrol,Mumbai,2,8
47,2016,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2000000,33000,Petrol,Mumbai,2,5
48,2014,Audi,Audi Q7 35 TDI Technology Pack,Q7,2250000,107000,Diesel,Mumbai,10,7
49,2015,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2125000,71000,Diesel,Mumbai,4,6
50,2015,Mercedes-Benz,Mercedes-Benz E-Class E350 CDI Avantgarde,E-Class,1900000,94000,Diesel,Mumbai,2,6
51,2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1250000,55000,Petrol,Mumbai,2,9
52,2013,Audi,Audi A4 2.0 TDI (143bhp),A4,1150000,79000,Diesel,Mumbai,10,8
53,2014,Audi,Audi A6 2.0 TDI Premium Plus,A6,1550000,71000,Diesel,Mumbai,10,7
54,2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1125000,65000,Petrol,Mumbai,2,9
55,2018,Mercedes-Benz,Mercedes-Benz E-Class E 200,E-Class,4250000,34000,Petrol,Mumbai,2,3
56,2013,Audi,Audi Q7 35 TDI Technology Pack,Q7,2175000,80000,Diesel,Mumbai,10,8
57,2010,Mercedes-Benz,Mercedes-Benz E-Class E350,E-Class,975000,67000,Petrol,Mumbai,2,11
58,2009,BMW,BMW 7 Series 750Li Sedan,7,1850000,27000,Petrol,Mumbai,4,12
59,2014,Audi,Audi A6 2.0 TDI Premium,A6,1650000,76000,Diesel,Mumbai,10,7
60,2018,Ford,Ford Endeavour Titanium 2.2 4x2 AT,Endeavour,2900000,11100,Diesel,Thane,8,3
61,2006,Maruti Suzuki,Maruti Suzuki Swift VXi,Swift,175000,79915,Petrol,Thane,32,15
62,2013,Maruti Suzuki,Maruti Suzuki Swift DZire VDI,Swift,449000,67664,Diesel,Mumbai,32,8
63,2016,Mahindra,Mahindra XUV500 W10 AT,XUV500,1275000,72000,Diesel,Mumbai,24,5
64,2018,BMW,BMW X1 sDrive20d Expedition,X1,2500000,33500,Diesel,Dehradun,4,3
65,2016,BMW,BMW Z4 sDrive 35i,Z4,4850000,26700,Petrol,Dehradun,4,5
66,2017,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3700000,45700,Diesel,Dehradun,40,4
67,2018,Jaguar,Jaguar XE Prestige Diesel,XE,3500000,23500,Diesel,Dehradun,40,3
68,2012,Lamborghini,Lamborghini Gallardo India Ltd Edition LP 550-2,Gallardo,12500000,14500,Petrol,Dehradun,45,9
69,2020,MINI,MINI Countryman Cooper S [2020-2021],Countryman,3850000,6517,Petrol,Dehradun,39,1
70,2014,Mercedes-Benz,Mercedes-Benz C-Class C 200 Avantgarde,C-Class,2700000,22000,Petrol,Dehradun,2,7
71,2017,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2900000,44000,Diesel,Dehradun,2,4
72,2018,Audi,Audi A6 35 TDI Matrix,A6,3750000,22000,Diesel,Dehradun,10,3
73,2015,BMW,BMW 7 Series 730Ld Eminence,7,3700000,66000,Diesel,Dehradun,4,6
74,2015,BMW,BMW 7 Series 730Ld Prestige,7,3700000,48000,Diesel,Dehradun,4,6
75,2013,BMW,BMW 7 Series 730Ld Sedan,7,2900000,59000,Diesel,Dehradun,4,8
76,2012,Land Rover,Land Rover Range Rover Evoque Prestige SD4,Evoque,1900000,127000,Diesel,Dehradun,18,9
77,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4900000,19500,Diesel,Dehradun,18,3
78,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4800000,29500,Diesel,Dehradun,18,3
79,2016,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,5700000,56500,Diesel,Dehradun,2,5
80,2015,Renault,Renault Lodgy 110 PS RxL [2015-2016],Lodgy,565000,85400,Diesel,Mumbai,15,6
81,2013,Honda,Honda City 1.5 V MT,City,418000,98602,Petrol,Mumbai,7,8
82,2016,Mercedes-Benz,Mercedes-Benz CLA 200 Petrol Sport,CLA,2150000,28000,Petrol,Mumbai,2,5
83,2021,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,2095000,7500,Diesel,Mumbai,14,0
84,2016,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3750000,33000,Diesel,Mumbai,40,5
85,2021,Hyundai,Hyundai Creta SX (O) 1.4 Turbo 7 DCT Dual Tone,Creta,2050000,4500,Petrol,Mumbai,14,0
86,2015,BMW,BMW 3 Series 320d Luxury Line,3,1825000,65000,Diesel,Mumbai,4,6
87,2008,Audi,Audi Q7 3.0 TDI quattro,Q7,850000,84500,Diesel,Mumbai,10,13
88,2011,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1650000,55000,Diesel,Mumbai,2,10
89,2012,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1350000,99000,Diesel,Mumbai,10,9
90,2012,Audi,Audi A8 L 3.0 TDI quattro,A8,2750000,25000,Diesel,Mumbai,10,9
91,2011,BMW,BMW 7 Series 740Li Sedan,7,1650000,65000,Petrol,Mumbai,4,10
92,2012,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1950000,71000,Diesel,Mumbai,2,9
93,2013,Mercedes-Benz,Mercedes-Benz B-Class B180,B-Class,1050000,67000,Petrol,Mumbai,2,8
94,2007,BMW,BMW 3 Series 320d Sedan,3,425000,48000,Diesel,Mumbai,4,14
95,2016,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,5700000,56500,Diesel,Dehradun,2,5
96,2012,Land Rover,Land Rover Range Rover Evoque Prestige SD4,Evoque,1900000,127000,Diesel,Dehradun,18,9
97,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4900000,19500,Diesel,Dehradun,18,3
98,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4800000,29500,Diesel,Dehradun,18,3
99,2010,Mercedes-Benz,Mercedes-Benz E-Class E350,E-Class,1050000,55000,Petrol,Mumbai,2,11
100,2015,Mercedes-Benz,Mercedes-Benz A-Class A 180 CDI Style,A-Class,1375000,61000,Diesel,Mumbai,2,6
101,2019,BMW,BMW X1 xDrive20d M Sport,X1,3499000,26000,Diesel,Mumbai,4,2
102,2019,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,4975000,25000,Diesel,Mumbai,4,2
103,2010,Toyota,Toyota Corolla Altis 1.8 G,Corolla,375000,46000,Petrol,Mumbai,1,11
104,2010,Audi,Audi Q5 2.0 TFSI quattro Premium Plus,Q5,999000,59000,Petrol,Mumbai,10,11
105,2015,Land Rover,Land Rover Range Rover Evoque Dynamic SD4,Evoque,2600000,77000,Diesel,Mumbai,18,6
106,2017,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1575000,60000,Diesel,Mumbai,1,4
107,2014,Toyota,Toyota Innova 2.5 EV PS 7 STR BS-IV,Innova,950000,91000,Diesel,Mumbai,1,7
108,2015,MINI,MINI Cooper Countryman Cooper D,Cooper,2500000,14000,Diesel,Mumbai,39,6
109,2017,Nissan,Nissan Terrano XL (P),Terrano,690000,21000,Petrol,Mumbai,11,4
110,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2975000,12000,Diesel,Mumbai,8,4
111,2008,BMW,BMW 3 Series 325i Sedan,3,450000,70000,Petrol,Mumbai,4,13
112,2016,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1090000,39000,Petrol,Mumbai,14,5
113,2012,BMW,BMW X3 xDrive20d,X3,1675000,59000,Diesel,Mumbai,4,9
114,2014,Honda,Honda CR-V 2.4 AT,CR-V,1200000,108200,Petrol,Mumbai,7,7
115,2014,Land Rover,Land Rover Freelander 2 SE,Freelander,1950000,61000,Diesel,Mumbai,18,7
116,2015,Maruti Suzuki,Maruti Suzuki Ciaz ZXi (O) [2014-2015],Ciaz,575000,52000,Petrol,Mumbai,32,6
117,2010,Chevrolet,Chevrolet Beat LT Petrol,Beat,115000,82000,Petrol,Mumbai,12,11
118,2017,Toyota,Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],Innova,1760000,56089,Diesel,Thane,1,4
119,2014,Audi,Audi Q3 2.0 TDI quattro Premium,Q3,1650000,45095,Diesel,Thane,10,7
120,2017,Mahindra,Mahindra KUV100 K6 D 5 STR,KUV100,575000,12321,Diesel,Thane,24,4
121,2017,Mahindra,Mahindra XUV500 W10 AT Black Interiors [2017],XUV500,1325000,67894,Diesel,Thane,24,4
122,2014,Renault,Renault Duster 110 PS RxZ AWD Diesel,Duster,625000,44835,Diesel,Thane,15,7
123,2013,Toyota,Toyota Fortuner 2.5 Sportivo 4x2 MT,Fortuner,1451000,118363,Diesel,Thane,1,8
124,2015,Hyundai,Hyundai i20 Active 1.2 SX,i20,525000,98877,Petrol,Thane,14,6
125,2019,Datsun,Datsun redi-GO T(O) 1.0,redi-GO,310000,41298,Petrol,Thane,50,2
126,2016,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.3,Baleno,675000,57209,Diesel,Thane,32,5
127,2017,Honda,Honda Jazz VX Petrol,Jazz,610000,49390,Petrol,Thane,7,4
128,2013,Nissan,Nissan Sunny XL,Sunny,345000,30477,Petrol,Thane,11,8
129,2012,Volkswagen,Volkswagen Polo Trendline 1.2L (P),Polo,325000,49000,Petrol,Mumbai,3,9
130,2016,Tata,Tata Tiago Revotron XZ,Tiago,465000,19000,Petrol,Mumbai,40,5
131,2020,Tata,Tata Altroz XZ (O) Petrol,Altroz,815000,7500,Petrol,Mumbai,40,1
132,2018,Mahindra,Mahindra TUV300 T6 Plus,TUV300,775000,54989,Diesel,Thane,24,3
133,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,Vitara,891000,22388,Diesel,Thane,32,4
134,2015,Honda,Honda City V,City,660000,46475,Petrol,Thane,7,6
135,2014,Toyota,Toyota Etios Liva G SP*,Etios,350000,31913,Petrol,Thane,1,7
136,2015,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],Grand,470000,55474,Petrol,Thane,14,6
137,2014,Ford,Ford Figo Duratorq Diesel ZXI 1.4,Figo,335000,68051,Diesel,Thane,8,7
138,2011,Honda,Honda City 1.5 S MT,City,345000,44000,Petrol,Mumbai,7,10
139,2011,Honda,Honda Civic 1.8V AT,Civic,345000,36500,Petrol,Mumbai,7,10
140,2018,MINI,MINI Countryman Cooper D,Countryman,3445000,3900,Diesel,Mumbai,39,3
141,2012,Skoda,Skoda Rapid Ambition 1.6 MPI MT,Rapid,335000,37000,Petrol,Mumbai,27,9
142,2018,Hyundai,Hyundai i20 Active 1.4 S,i20,790000,42000,Diesel,Mumbai,14,3
143,2019,Jeep,Jeep Compass Limited 2.0 Diesel [2017-2020],Compass,1450000,39500,Diesel,Mumbai,19,2
144,2017,Hyundai,Hyundai Elite i20 Sportz 1.2,Elite,595000,32000,Petrol,Mumbai,14,4
145,2012,Maruti Suzuki,Maruti Suzuki Ritz VXI BS-IV,Ritz,315000,56452,Petrol,Mumbai,32,9
146,2015,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2500000,22341,Diesel,Mumbai,2,6
147,2018,Mahindra,Mahindra Bolero Power Plus SLE [2016-2019],Bolero,655000,85000,Diesel,Mumbai,24,3
148,2018,Mahindra,Mahindra Bolero Power Plus SLE [2016-2019],Bolero,675000,58000,Diesel,Mumbai,24,3
149,2014,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,1750000,21212,Diesel,Mumbai,2,7
150,2012,Maruti Suzuki,Maruti Suzuki SX4 VXi,SX4,315000,68890,Petrol,Mumbai,32,9
151,2016,Porsche,Porsche Cayenne Platinum Edition Diesel,Cayenne,7800000,31000,Diesel,Mumbai,5,5
152,2012,Honda,Honda City 1.5 V MT,City,489000,49000,Petrol,Navi Mumbai,7,9
153,2007,Mercedes-Benz,Mercedes-Benz C-Class 200 K AT,C-Class,375000,115140,Petrol,Mumbai,2,14
154,2013,Audi,Audi Q5 2.0 TDI quattro Premium,Q5,1600000,74000,Diesel,Dehradun,10,8
155,2014,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2800000,54500,Diesel,Dehradun,10,7
156,2015,BMW,BMW 5 Series 530d M Sport [2013-2017],5,2350000,77000,Diesel,Dehradun,4,6
157,2013,Audi,Audi A4 2.0 TDI (177bhp) Premium Sport,A4,1450000,63700,Diesel,Dehradun,10,8
158,2013,Audi,Audi A6 2.0 TDI Premium,A6,1650000,64000,Diesel,Dehradun,10,8
159,2018,Audi,Audi Q3 35 TDI quattro Premium Plus,Q3,2800000,43000,Diesel,Dehradun,10,3
160,2020,Land Rover,Land Rover Range Rover Evoque S [2020-2021],Evoque,5900000,9000,Diesel,Dehradun,18,1
161,2016,Volvo,Volvo V40 D3 R-Design,V40,1750000,78000,Diesel,Dehradun,9,5
162,2011,Chevrolet,Chevrolet Beat LS Petrol,Beat,171000,31000,Petrol,Mumbai,12,10
163,2011,Skoda,Skoda Superb Elegance 1.8 TSI MT,Superb,390000,54000,Petrol,Mumbai,27,10
164,2009,Toyota,Toyota Innova 2.5 V 8 STR,Innova,525000,65000,Diesel,Mumbai,1,12
165,2015,Toyota,Toyota Innova 2.5 G BS IV 7 STR,Innova,1050000,18000,Diesel,Mumbai,1,6
166,2015,Mahindra,Mahindra XUV500 W8,XUV500,890000,53000,Diesel,Mumbai,24,6
167,2015,Honda,Honda CR-V 2.0L 2WD AT,CR-V,1325000,42000,Petrol,Mumbai,7,6
168,2020,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,1990000,7800,Diesel,Mumbai,14,1
169,2017,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Elite,550000,20000,Petrol,Mumbai,14,4
170,2018,Maruti Suzuki,Maruti Suzuki Dzire ZDi,Dzire,785000,27000,Diesel,Thane,32,3
171,2013,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2050000,43000,Diesel,Mumbai,10,8
172,2015,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2350000,37000,Diesel,Mumbai,4,6
173,2018,Mahindra,Mahindra XUV500 W9 [2018-2020],XUV500,1445000,34000,Diesel,Mumbai,24,3
174,2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,995000,38000,Petrol,Mumbai,14,4
175,2017,Mercedes-Benz,Mercedes-Benz CLA 45 AMG 4MATIC [2017-2017],CLA,4300000,17000,Petrol,Dehradun,2,4
176,2018,Mahindra,Mahindra XUV500 W9 [2018-2020],XUV500,1445000,34000,Diesel,Mumbai,24,3
177,2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,995000,38000,Petrol,Mumbai,14,4
178,2009,Toyota,Toyota Innova 2.5 V 8 STR,Innova,525000,65000,Diesel,Mumbai,1,12
179,2011,Chevrolet,Chevrolet Beat LS Petrol,Beat,171000,31000,Petrol,Mumbai,12,10
180,2017,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Elite,550000,20000,Petrol,Mumbai,14,4
181,2020,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,1990000,7800,Diesel,Mumbai,14,1
182,2020,Hyundai,Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Creta,2025000,9000,Petrol,Mumbai,14,1
183,2014,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,4700000,49000,Diesel,Navi Mumbai,2,7
184,2019,Hyundai,Hyundai Creta 1.6 SX Plus Petrol,Creta,1550000,10500,Petrol,Navi Mumbai,14,2
185,2018,Honda,Honda Jazz V Petrol,Jazz,640000,33000,Petrol,Navi Mumbai,7,3
186,2013,Maruti Suzuki,Maruti Suzuki SX4 ZXi,SX4,399000,47284,Petrol,Mumbai,32,8
187,2015,Volkswagen,Volkswagen Vento Highline Petrol,Vento,521000,62618,Petrol,Mumbai,3,6
188,2020,Mercedes-Benz,Mercedes-Benz C-Class C 220d Progressive [2018-2019],C-Class,4750000,4200,Diesel,Mumbai,2,1
189,2017,Hyundai,Hyundai Verna 1.6 VTVT S,Verna,675000,31414,Petrol,Mumbai,14,4
190,2016,Hyundai,Hyundai Elite i20 Asta 1.2 (O) [2016],Elite,650000,24694,Petrol,Mumbai,14,5
191,2013,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,325000,29708,Petrol,Mumbai,14,8
192,2012,Toyota,Toyota Etios G,Etios,375000,40200,Petrol,Thane,1,9
193,2015,Toyota,Toyota Innova 2.5 G BS IV 7 STR,Innova,1030000,156334,Diesel,Thane,1,6
194,2013,Maruti Suzuki,Maruti Suzuki Ritz Zxi BS-IV,Ritz,365000,32000,Petrol,Thane,32,8
195,2021,Maruti Suzuki,Maruti Suzuki Baleno Delta Automatic,Baleno,900000,350,Petrol,Mumbai,32,0
196,2015,Tata,Tata Zest XMA Diesel,Zest,495000,61649,Diesel,Thane,40,6
197,2016,Honda,Honda BR-V V CVT Petrol,BR-V,855000,28367,Petrol,Thane,7,5
198,2019,Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.3,S-Cross,985000,33997,Diesel,Thane,32,2
199,2011,Honda,Honda City 1.5 V AT,City,465000,47209,Petrol,Thane,7,10
200,2013,Hyundai,Hyundai Elantra 1.6 SX AT,Elantra,675000,62812,Diesel,Thane,14,8
201,2014,Maruti Suzuki,Maruti Suzuki Ciaz ZXi,Ciaz,645000,52204,Petrol,Thane,32,7
202,2011,Honda,Honda Brio V MT,Brio,295000,39295,Petrol,Thane,7,10
203,2017,Hyundai,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,Grand,521000,54803,Petrol,Thane,14,4
204,2014,Toyota,Toyota Innova 2.5 VX 7 STR BS-III,Innova,975000,150116,Diesel,Thane,1,7
205,2016,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2,Baleno,621000,48968,Petrol,Thane,32,5
206,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,Vitara,895000,43494,Diesel,Thane,32,4
207,2017,Nissan,Nissan Sunny XV CVT,Sunny,635000,41584,Petrol,Thane,11,4
208,2016,Hyundai,Hyundai Creta 1.6 SX Plus AT,Creta,1145000,56839,Diesel,Thane,14,5
209,2012,Hyundai,Hyundai i10 Era 1.1 iRDE2 [2010-2017],i10,315000,34600,Petrol,Thane,14,9
210,2014,Renault,Renault Duster 110 PS RxZ Diesel,Duster,545000,77082,Diesel,Thane,15,7
211,2016,Maruti Suzuki,Maruti Suzuki Ciaz ZDi SHVS,Ciaz,615000,52000,Diesel,Mumbai,32,5
212,2014,Audi,Audi Q3 2.0 TDI quattro Premium,Q3,1455000,65000,Diesel,Mumbai,10,7
213,2012,Hyundai,Hyundai i20 Sportz 1.4 CRDI,i20,349000,84000,Diesel,Navi Mumbai,14,9
214,2017,Maruti Suzuki,Maruti Suzuki Ciaz Delta 1.3 Hybrid,Ciaz,775000,39535,Diesel,Thane,32,4
215,2015,Toyota,Toyota Etios Cross 1.2 G,Etios,499000,39792,Petrol,Thane,1,6
216,2016,Toyota,Toyota Corolla Altis VL AT Petrol,Corolla,1095000,31552,Petrol,Thane,1,5
217,2015,Hyundai,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,Verna,725000,37399,Petrol,Thane,14,6
218,2012,Toyota,Toyota Innova 2.5 G4 7 STR,Innova,765000,158359,Diesel,Thane,1,9
219,2016,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2 AT,Baleno,699000,22272,Petrol,Thane,32,5
220,2017,Mahindra,Mahindra XUV500 W10 AT,XUV500,1545000,39700,Diesel,Thane,24,4
221,2017,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1195000,30958,Petrol,Thane,14,4
222,2018,Honda,Honda WR-V VX MT Diesel,WR-V,895000,32202,Diesel,Thane,7,3
223,2018,Land Rover,Land Rover Discovery Sport HSE Luxury 7-Seater,Discovery,4190000,65000,Diesel,Mumbai,18,3
224,2018,Mercedes-Benz,Mercedes-Benz CLA 200 CDI Sport,CLA,3000000,10000,Diesel,Mumbai,2,3
225,2020,Volkswagen,Volkswagen Polo GT TSI,Polo,1025000,2608,Petrol,Mumbai,3,1
226,2021,Skoda,Skoda Superb L&K TSI AT,Superb,3495000,7500,Petrol,Mumbai,27,0
227,2018,Mercedes-Benz,Mercedes-Benz CLA 200 D Urban Sport,CLA,2795000,34000,Diesel,Mumbai,2,3
228,2016,Mahindra,Mahindra XUV500 W10 AT,XUV500,1325000,41000,Diesel,Mumbai,24,5
229,2007,Honda,Honda CR-V 2.4 AT,CR-V,290000,195000,Petrol,Mumbai,7,14
230,2017,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1100000,43100,Petrol,Mumbai,14,4
231,2018,Mercedes-Benz,Mercedes-Benz CLA 200 Petrol Sport,CLA,2650000,17300,Petrol,Mumbai,2,3
232,2012,Honda,Honda Accord 2.4 AT,Accord,450000,61700,Petrol,Mumbai,7,9
233,2016,Maruti Suzuki,Maruti Suzuki Swift Dzire VDI,Swift,650000,68003,Diesel,Mumbai,32,5
234,2016,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2200000,85000,Diesel,Mumbai,2,5
235,2009,Hyundai,Hyundai Verna VGT CRDi SX ABS,Verna,197000,98000,Diesel,Mumbai,14,12
236,2014,BMW,BMW X1 sDrive20d Sport Line,X1,1275000,45000,Diesel,Mumbai,4,7
237,2015,Volkswagen,Volkswagen Vento Comfortline Petrol AT,Vento,615000,33000,Petrol,Mumbai,3,6
238,2018,Honda,Honda BR-V V CVT Petrol,BR-V,1045000,4000,Petrol,Mumbai,7,3
239,2012,Toyota,Toyota Etios Liva V,Etios,325000,54215,Petrol + 1,Mumbai,1,9
240,2018,Honda,Honda City ZX CVT Petrol [2017-2019],City,1051000,47000,Petrol,Mumbai,7,3
241,2018,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],Vitara,975000,19000,Diesel,Mumbai,32,3
